Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Francisco Álvarez,21,123,423,382,51,80,12,0,25,63,2,0,34,110,0.209,0.284,0.437,0.721,95,167,14,6,0,1,0,Right,No
2,2023,1B,Pete Alonso,28,154,658,568,92,123,21,2,46,118,4,1,65,151,0.217,0.318,0.504,0.821,122,286,17,21,0,4,6,Right,No
3,2023,2B,Jeff McNeil,31,156,648,585,75,158,25,4,10,55,10,0,39,65,0.27,0.333,0.378,0.711,96,221,5,18,3,3,0,Left,No
4,2023,SS,Francisco Lindor,29,160,687,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.47,0.806,120,283,8,12,0,7,1,Right,Yes
5,2023,3B,Brett Baty,23,108,389,353,41,75,12,0,9,34,2,0,29,109,0.212,0.275,0.323,0.598,65,114,8,2,1,1,0,Left,No
6,2023,LF,Mark Canha,34,89,303,257,28,63,15,1,6,29,7,0,32,52,0.245,0.343,0.381,0.725,100,98,8,9,0,5,0,Right,No
7,2023,CF,Brandon Nimmo,30,152,682,592,89,162,30,6,24,68,3,3,74,146,0.274,0.363,0.466,0.829,127,276,6,11,1,4,0,Left,No
8,2023,RF,Starling Marte,34,86,341,315,38,78,7,1,5,28,24,4,16,69,0.248,0.301,0.324,0.625,73,102,8,8,2,0,1,Right,No
9,2023,DH,Daniel Vogelbach,30,104,319,275,33,64,8,0,13,48,0,0,42,81,0.233,0.339,0.404,0.742,104,111,6,2,0,0,1,Left,No
10,2023,LF,Tommy Pham,35,79,264,231,29,62,15,1,10,36,11,1,29,56,0.268,0.348,0.472,0.82,124,109,2,1,0,3,1,Right,No
11,2023,DH,Mark Vientos,23,65,233,218,19,46,5,1,9,22,1,0,10,71,0.211,0.253,0.367,0.62,69,80,5,3,0,2,0,Right,No
12,2023,RF,DJ Stewart,29,58,185,160,21,39,9,0,11,26,1,1,15,56,0.244,0.333,0.506,0.84,128,81,3,7,1,1,0,Left,No
