Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run,Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
N Ryan,P,324.0,292.0,3.19,807.0,773.0,222.0,61.0,3.0,4.0,5386.0,3923.0,2178.0,1911.0,321.0,158.0,2795.0,5714.0,1.25,0.204
R Johnson,P,303.0,166.0,3.29,618.0,603.0,100.0,37.0,2.0,3.0,4135.1,3346.0,1703.0,1513.0,411.0,190.0,1497.0,4875.0,1.17,0.221
R Clemens,P,354.0,184.0,3.12,709.0,707.0,118.0,46.0,0.0,0.0,4916.2,4185.0,1885.0,1707.0,363.0,159.0,1580.0,4672.0,1.17,0.229
S Carlton,P,329.0,244.0,3.22,741.0,709.0,254.0,55.0,2.0,2.0,5217.1,4672.0,2130.0,1864.0,414.0,53.0,1833.0,4136.0,1.25,0.24
B Blyleven,P,287.0,250.0,3.31,692.0,685.0,242.0,60.0,0.0,0.0,4970.0,4632.0,2029.0,1830.0,430.0,155.0,1322.0,3701.0,1.2,0.248
T Seaver,P,311.0,205.0,2.86,656.0,647.0,231.0,61.0,1.0,2.0,4782.2,3971.0,1674.0,1521.0,380.0,76.0,1390.0,3640.0,1.12,0.226
D Sutton,P,324.0,256.0,3.26,774.0,756.0,178.0,58.0,5.0,5.0,5282.1,4692.0,2104.0,1914.0,472.0,82.0,1343.0,3574.0,1.14,0.236
G Perry,P,314.0,265.0,3.11,777.0,690.0,303.0,53.0,11.0,12.0,5350.1,4938.0,2128.0,1846.0,399.0,108.0,1379.0,3534.0,1.18,0.245
W Johnson,P,417.0,279.0,2.17,802.0,666.0,531.0,110.0,34.0,0.0,5914.1,4913.0,1902.0,1424.0,97.0,205.0,1363.0,3508.0,1.06,0.227
G Maddux,P,355.0,227.0,3.16,744.0,740.0,109.0,35.0,0.0,0.0,5008.1,4726.0,1981.0,1756.0,353.0,137.0,999.0,3371.0,1.14,0.25
P Niekro,P,318.0,274.0,3.35,864.0,716.0,245.0,45.0,29.0,33.0,5404.1,5044.0,2337.0,2012.0,482.0,123.0,1809.0,3342.0,1.27,0.247
M Scherzer,P,202.0,102.0,3.11,431.0,422.0,12.0,5.0,0.0,0.0,2688.0,2184.0,1001.0,930.0,301.0,107.0,703.0,3199.0,1.07,0.22
